pathway,nodes
Pentose and glucuronate interconversions,CRYL1
Pentose and glucuronate interconversions,UGT2A3
Pentose and glucuronate interconversions,GUSB
Pentose and glucuronate interconversions,UGT1A7
Pentose and glucuronate interconversions,AKR1B1
Pentose and glucuronate interconversions,UGT1A5
Pentose and glucuronate interconversions,AKR1B10
Fructose and mannose metabolism,HK1
Fructose and mannose metabolism,GMPPA
Fructose and mannose metabolism,PFKFB1
Fructose and mannose metabolism,MPI
Fructose and mannose metabolism,HK3
Fructose and mannose metabolism,TIGAR
Fructose and mannose metabolism,PFKM
Fructose and mannose metabolism,GMDS
Fructose and mannose metabolism,PFKFB3
Fructose and mannose metabolism,PFKFB4
Fructose and mannose metabolism,PFKFB2
Fructose and mannose metabolism,PMM2
Fructose and mannose metabolism,GFUS
Fructose and mannose metabolism,FBP2
Fructose and mannose metabolism,SORD
Fructose and mannose metabolism,GMPPB
Fructose and mannose metabolism,KHK
Fructose and mannose metabolism,FCSK
Fructose and mannose metabolism,HK2
Fructose and mannose metabolism,FPGT
Fructose and mannose metabolism,TPI1
Fructose and mannose metabolism,ALDOA
Fructose and mannose metabolism,TKFC
Fructose and mannose metabolism,FBP1
Fructose and mannose metabolism,PFKL
Fructose and mannose metabolism,ALDOB
Fructose and mannose metabolism,HKDC1
Fructose and mannose metabolism,AKR1B1
Fructose and mannose metabolism,AKR1B10
Fructose and mannose metabolism,PFKP
Fructose and mannose metabolism,PMM1
Fructose and mannose metabolism,ALDOC
Galactose metabolism,B4GALT1
Galactose metabolism,HK1
Galactose metabolism,GCK
Galactose metabolism,HK3
Galactose metabolism,G6PC2
Galactose metabolism,PGM1
Galactose metabolism,B4GALT2
Galactose metabolism,GALE
Galactose metabolism,MGAM
Galactose metabolism,GALK1
Galactose metabolism,LCT
Galactose metabolism,GAA
Galactose metabolism,PGM2
Galactose metabolism,LALBA
Galactose metabolism,GLB1
Galactose metabolism,UGP2
Galactose metabolism,G6PC3
Galactose metabolism,G6PC1
Galactose metabolism,GALT
Galactose metabolism,GLA
Galactose metabolism,MGAM2
Galactose metabolism,HK2
Galactose metabolism,SI
Galactose metabolism,GANC
Galactose metabolism,HKDC1
Galactose metabolism,AKR1B1
Galactose metabolism,AKR1B10
Galactose metabolism,GALM
Ascorbate and aldarate metabolism,AKR1A1
Ascorbate and aldarate metabolism,UGT2B15
Ascorbate and aldarate metabolism,UGT2B28
Ascorbate and aldarate metabolism,UGT2B17
Ascorbate and aldarate metabolism,KL
Ascorbate and aldarate metabolism,UGT1A1
Ascorbate and aldarate metabolism,UGT1A6
Ascorbate and aldarate metabolism,UGT2B10
Ascorbate and aldarate metabolism,UGT2A1
Ascorbate and aldarate metabolism,UGT1A10
Ascorbate and aldarate metabolism,UGT1A3
Ascorbate and aldarate metabolism,MIOX
Ascorbate and aldarate metabolism,UGT2B11
Ascorbate and aldarate metabolism,UGT2B4
Ascorbate and aldarate metabolism,UGDH
Ascorbate and aldarate metabolism,UGT1A4
Ascorbate and aldarate metabolism,UGT2A2
Ascorbate and aldarate metabolism,UGT2B7
Ascorbate and aldarate metabolism,UGT1A8
Ascorbate and aldarate metabolism,UGT1A9
Ascorbate and aldarate metabolism,UGT2A3
Ascorbate and aldarate metabolism,GUSB
Ascorbate and aldarate metabolism,UGT1A7
Ascorbate and aldarate metabolism,UGT1A5
Ascorbate and aldarate metabolism,RGN
Fatty acid biosynthesis,HTD2
Fatty acid biosynthesis,ACSL4
Fatty acid biosynthesis,MCAT
Fatty acid biosynthesis,MECR
Fatty acid biosynthesis,ACSL5
Fatty acid biosynthesis,ACSL1
Fatty acid biosynthesis,ACSF3
Fatty acid biosynthesis,ACSBG1
Fatty acid biosynthesis,OLAH
Fatty acid biosynthesis,CBR4
Fatty acid biosynthesis,ACSL3
Fatty acid biosynthesis,FASN
Fatty acid biosynthesis,ACSL6
Fatty acid biosynthesis,HSD17B8
Fatty acid biosynthesis,OXSM
Fatty acid biosynthesis,ACSBG2
Fatty acid biosynthesis,ACACB
Fatty acid biosynthesis,ACACA
Fatty acid elongation,ACOT2
Fatty acid elongation,ACAA2
Fatty acid elongation,PPT2
Fatty acid elongation,ELOVL3
Fatty acid elongation,HADHA
Fatty acid elongation,ELOVL4
Fatty acid elongation,ELOVL6
Fatty acid elongation,HADH
Fatty acid elongation,HACD3
Fatty acid elongation,ACOT4
Fatty acid elongation,ELOVL7
Fatty acid elongation,ELOVL5
Fatty acid elongation,ACOT7
Fatty acid elongation,ECHS1
Fatty acid elongation,ELOVL2
Fatty acid elongation,HACD2
Fatty acid elongation,PPT1
Fatty acid elongation,ELOVL1
Fatty acid elongation,HACD4
Fatty acid elongation,HACD1
Fatty acid elongation,MECR
Fatty acid elongation,TECR
Fatty acid elongation,HADHB
Fatty acid elongation,THEM4
Fatty acid elongation,HSD17B12
Fatty acid elongation,THEM5
Fatty acid elongation,ACOT1
Fatty acid degradation,ACAA2
Fatty acid degradation,ACSL1
Fatty acid degradation,ACOX1
Fatty acid degradation,ADH1B
Fatty acid degradation,ACOX3
Fatty acid degradation,ACSL3
Fatty acid degradation,ACADSB
Fatty acid degradation,ACADL
Fatty acid degradation,ACADM
Fatty acid degradation,ACSBG2
Fatty acid degradation,HADHA
Fatty acid degradation,ACAA1
Fatty acid degradation,ADH1C
Fatty acid degradation,EHHADH
Fatty acid degradation,HADH
Fatty acid degradation,ACSBG1
Fatty acid degradation,ALDH7A1
Fatty acid degradation,CPT1A
Fatty acid degradation,ADH1A
Fatty acid degradation,CPT2
Fatty acid degradation,ADH7
Fatty acid degradation,ALDH9A1
Fatty acid degradation,ACADS
Fatty acid degradation,ECHS1
Fatty acid degradation,ACSL4
Fatty acid degradation,CPT1B
Fatty acid degradation,ACADVL
Fatty acid degradation,GCDH
Fatty acid degradation,ACAT2
Fatty acid degradation,ALDH1B1
Fatty acid degradation,CPT1C
Fatty acid degradation,ALDH2
Fatty acid degradation,ACSL5
Fatty acid degradation,ACAT1
Fatty acid degradation,ADH4
Fatty acid degradation,ALDH3A2
Fatty acid degradation,HADHB
Fatty acid degradation,ACSL6
Fatty acid degradation,CYP2U1
Fatty acid degradation,ADH5
Fatty acid degradation,ADH6
Steroid biosynthesis,CYP2R1
Steroid biosynthesis,NSDHL
Steroid biosynthesis,LBR
Steroid biosynthesis,CEL
Steroid biosynthesis,CYP27B1
Steroid biosynthesis,CYP24A1
Steroid biosynthesis,CYP51A1
Steroid biosynthesis,EBP
Steroid biosynthesis,DHCR7
Steroid biosynthesis,SQLE
Steroid biosynthesis,MSMO1
Steroid biosynthesis,LSS
Steroid biosynthesis,SOAT2
Steroid biosynthesis,DHCR24
Steroid biosynthesis,SOAT1
Steroid biosynthesis,HSD17B7
Steroid biosynthesis,TM7SF2
Steroid biosynthesis,LIPA
Steroid biosynthesis,FDFT1
Steroid biosynthesis,SC5D
Primary bile acid biosynthesis,BAAT
Primary bile acid biosynthesis,CYP7B1
Primary bile acid biosynthesis,ACOT8
Primary bile acid biosynthesis,HSD3B7
Primary bile acid biosynthesis,CH25H
Primary bile acid biosynthesis,AMACR
Primary bile acid biosynthesis,AKR1D1
Primary bile acid biosynthesis,CYP8B1
Primary bile acid biosynthesis,SCP2
Primary bile acid biosynthesis,CYP7A1
Primary bile acid biosynthesis,AKR1C4
Primary bile acid biosynthesis,CYP46A1
Primary bile acid biosynthesis,CYP27A1
Primary bile acid biosynthesis,HSD17B4
Primary bile acid biosynthesis,CYP39A1
Primary bile acid biosynthesis,ACOX2
Primary bile acid biosynthesis,SLC27A5
Ubiquinone and other terpenoid-quinone biosynthesis,GGCX
Ubiquinone and other terpenoid-quinone biosynthesis,COQ6
Ubiquinone and other terpenoid-quinone biosynthesis,COQ3
Ubiquinone and other terpenoid-quinone biosynthesis,COQ7
Ubiquinone and other terpenoid-quinone biosynthesis,VKORC1L1
Ubiquinone and other terpenoid-quinone biosynthesis,NQO1
Ubiquinone and other terpenoid-quinone biosynthesis,TAT
Ubiquinone and other terpenoid-quinone biosynthesis,COQ2
Ubiquinone and other terpenoid-quinone biosynthesis,HPD
Ubiquinone and other terpenoid-quinone biosynthesis,COQ5
Ubiquinone and other terpenoid-quinone biosynthesis,VKORC1
Steroid hormone biosynthesis,UGT2B15
Steroid hormone biosynthesis,CYP3A5
Steroid hormone biosynthesis,CYP17A1
Steroid hormone biosynthesis,HSD11B1
Steroid hormone biosynthesis,UGT2B28
Steroid hormone biosynthesis,SRD5A2
Steroid hormone biosynthesis,COMT
Steroid hormone biosynthesis,CYP3A7
Steroid hormone biosynthesis,UGT2B17
Steroid hormone biosynthesis,HSD17B6
Steroid hormone biosynthesis,AKR1D1
Steroid hormone biosynthesis,CYP1B1
Steroid hormone biosynthesis,HSD3B2
Steroid hormone biosynthesis,AKR1C4
Steroid hormone biosynthesis,UGT1A1
Steroid hormone biosynthesis,CYP1A1
Steroid hormone biosynthesis,UGT1A6
Steroid hormone biosynthesis,HSD17B1
Steroid hormone biosynthesis,UGT2B10
Steroid hormone biosynthesis,HSD11B1L
Steroid hormone biosynthesis,CYP21A2
Steroid hormone biosynthesis,SRD5A3
Steroid hormone biosynthesis,UGT2A1
Steroid hormone biosynthesis,HSD17B3
Steroid hormone biosynthesis,DHRS11
Steroid hormone biosynthesis,HSD3B1
Steroid hormone biosynthesis,AKR1C2
Steroid hormone biosynthesis,HSD17B2
Steroid hormone biosynthesis,UGT1A10
Steroid hormone biosynthesis,UGT1A3
Steroid hormone biosynthesis,SULT1E1
Steroid hormone biosynthesis,UGT2B11
Steroid hormone biosynthesis,SULT2B1
Steroid hormone biosynthesis,LRTOMT
Steroid hormone biosynthesis,UGT2B4
Steroid hormone biosynthesis,CYP3A4
Steroid hormone biosynthesis,UGT1A4
Steroid hormone biosynthesis,UGT2A2
Steroid hormone biosynthesis,CYP11A1
Steroid hormone biosynthesis,UGT2B7
Steroid hormone biosynthesis,UGT1A8
Steroid hormone biosynthesis,CYP1A2
Steroid hormone biosynthesis,CYP2E1
Steroid hormone biosynthesis,AKR1C1
Steroid hormone biosynthesis,HSD17B8
Steroid hormone biosynthesis,CYP11B2
Steroid hormone biosynthesis,CYP3A7-CYP3A51P
Steroid hormone biosynthesis,CYP11B1
Steroid hormone biosynthesis,UGT1A9
Steroid hormone biosynthesis,CYP7B1
Steroid hormone biosynthesis,SRD5A1
Steroid hormone biosynthesis,UGT2A3
Steroid hormone biosynthesis,CYP19A1
Steroid hormone biosynthesis,HSD11B2
Steroid hormone biosynthesis,AKR1C3
Steroid hormone biosynthesis,HSD17B7
Steroid hormone biosynthesis,STS
Steroid hormone biosynthesis,UGT1A7
Steroid hormone biosynthesis,HSD17B12
Steroid hormone biosynthesis,CYP7A1
Steroid hormone biosynthesis,UGT1A5
Oxidative phosphorylation,ATP8
Oxidative phosphorylation,ATP5F1A
Oxidative phosphorylation,ATP6V1F
Oxidative phosphorylation,PPA1
Oxidative phosphorylation,ATP5MC2
Oxidative phosphorylation,ATP5F1C
Oxidative phosphorylation,ATP6V0B
Oxidative phosphorylation,ATP6V0A2
Oxidative phosphorylation,ATP6V1G1
Oxidative phosphorylation,ATP5PB
Oxidative phosphorylation,ATP4B
Oxidative phosphorylation,ATP6V1G3
Oxidative phosphorylation,ATP6V0E2
Oxidative phosphorylation,ATP12A
Oxidative phosphorylation,ATP5MF
Oxidative phosphorylation,ATP6V1C1
Oxidative phosphorylation,ATP5PF
Oxidative phosphorylation,ATP5MC3
Oxidative phosphorylation,ATP6V1G2
Oxidative phosphorylation,ATP6V0D1
Oxidative phosphorylation,ATP5PO
Oxidative phosphorylation,ATP6
Oxidative phosphorylation,ATP5F1B
Oxidative phosphorylation,ATP6V0D2
Oxidative phosphorylation,ATP5F1E
Oxidative phosphorylation,ATP6V1E2
Oxidative phosphorylation,ATP6V0A4
Oxidative phosphorylation,ATP6V1H
Oxidative phosphorylation,ATP5ME
Oxidative phosphorylation,ATP6V0A1
Oxidative phosphorylation,TCIRG1
Oxidative phosphorylation,PPA2
Oxidative phosphorylation,ATP5F1D
Oxidative phosphorylation,ATP5PD
Oxidative phosphorylation,ATP6V0C
Oxidative phosphorylation,ATP6V1B2
Oxidative phosphorylation,LHPP
Oxidative phosphorylation,ATP5MC1
Oxidative phosphorylation,ATP6V1E1
Oxidative phosphorylation,ATP6AP1
Oxidative phosphorylation,ATP4A
Oxidative phosphorylation,ATP5MG
Oxidative phosphorylation,ATP6V1B1
Oxidative phosphorylation,ATP6V0E1
Oxidative phosphorylation,ATP6V1C2
Oxidative phosphorylation,ATP6V1A
Oxidative phosphorylation,ATP6V1D
Arginine biosynthesis,ASS1
Arginine biosynthesis,NOS1
Arginine biosynthesis,ASL
Arginine biosynthesis,NAGS
Arginine biosynthesis,ARG2
Arginine biosynthesis,GOT1L1
Arginine biosynthesis,GPT
Arginine biosynthesis,GLS
Arginine biosynthesis,OTC
Arginine biosynthesis,GLUD2
Arginine biosynthesis,NOS2
Arginine biosynthesis,NOS3
Arginine biosynthesis,ARG1
Arginine biosynthesis,GPT2
Arginine biosynthesis,GOT2
Arginine biosynthesis,ABHD14A-ACY1
Arginine biosynthesis,GLUL
Arginine biosynthesis,ACY1
Arginine biosynthesis,GOT1
Arginine biosynthesis,CPS1
Arginine biosynthesis,GLUD1
Arginine biosynthesis,GLS2
Purine metabolism,ADCY1
Purine metabolism,PNP
Purine metabolism,HDDC3
Purine metabolism,ADCY5
Purine metabolism,NME7
Purine metabolism,NUDT2
Purine metabolism,NME1-NME2
Purine metabolism,PDE5A
Purine metabolism,ADCY7
Purine metabolism,HDDC2
Purine metabolism,AK7
Purine metabolism,GUCY1A2
Purine metabolism,ENTPD8
Purine metabolism,NT5DC4
Purine metabolism,ENPP1
Purine metabolism,NME4
Purine metabolism,ADA
Purine metabolism,PDE6A
Purine metabolism,ENTPD1
Purine metabolism,HPRT1
Purine metabolism,PDE11A
Purine metabolism,ADCY4
Purine metabolism,AK4
Purine metabolism,NPR1
Purine metabolism,NT5C
Purine metabolism,GDA
Purine metabolism,PRUNE1
Purine metabolism,PDE4A
Purine metabolism,ADCY3
Purine metabolism,PDE10A
Purine metabolism,RRM2
Purine metabolism,ADCY6
Purine metabolism,ENTPD5
Purine metabolism,GUCY1A1
Purine metabolism,PDE8A
Purine metabolism,NPR2
Purine metabolism,PDE9A
Purine metabolism,AMPD1
Purine metabolism,NUDT9
Purine metabolism,ADCY10
Purine metabolism,GUCY1B1
Purine metabolism,NUDT16
Purine metabolism,PDE3A
Purine metabolism,AK5
Purine metabolism,GART
Purine metabolism,APRT
Purine metabolism,ADCY8
Purine metabolism,NT5M
Purine metabolism,ADPRM
Purine metabolism,PFAS
Purine metabolism,PDE4B
Purine metabolism,ITPA
Purine metabolism,IMPDH1
Purine metabolism,PDE4C
Purine metabolism,NT5C2
Purine metabolism,RRM2B
Purine metabolism,ENTPD2
Purine metabolism,AK6
Purine metabolism,PDE4D
Purine metabolism,ADA2
Purine metabolism,NT5C1B
Purine metabolism,PDE6B
Purine metabolism,PDE2A
Purine metabolism,PGM1
Purine metabolism,ENTPD6
Purine metabolism,XDH
Purine metabolism,AK2
Purine metabolism,GMPR2
Purine metabolism,NME6
Purine metabolism,AK8
Purine metabolism,IMPDH2
Purine metabolism,FHIT
Purine metabolism,NT5E
Purine metabolism,GUCY2F
Purine metabolism,DCK
Purine metabolism,NT5C1A
Purine metabolism,NUDT5
Purine metabolism,ADCY9
Purine metabolism,GUCY2D
Purine metabolism,CANT1
Purine metabolism,ADSS1
Purine metabolism,ATIC
Purine metabolism,GMPR
Purine metabolism,ADSS2
Purine metabolism,LACC1
Purine metabolism,PDE8B
Purine metabolism,NME2
Purine metabolism,ADSL
Purine metabolism,PDE1B
Purine metabolism,PRPS1
Purine metabolism,AMPD3
Purine metabolism,PDE7B
Purine metabolism,NT5C1B-RDH14
Purine metabolism,GUCY2C
Purine metabolism,PDE7A
Purine metabolism,PAICS
Purine metabolism,AK3
Purine metabolism,ADK
Purine metabolism,AMPD2
Purine metabolism,GMPS
Purine metabolism,PGM2
Purine metabolism,AK1
Purine metabolism,PDE1C
Purine metabolism,PDE6D
Purine metabolism,PDE1A
Purine metabolism,RRM1
Purine metabolism,NME1
Purine metabolism,NTPCR
Purine metabolism,PDE3B
Purine metabolism,PDE6C
Purine metabolism,PDE6H
Purine metabolism,ENPP4
Purine metabolism,NME3
Purine metabolism,ENTPD4
Purine metabolism,DGUOK
Purine metabolism,ADCY2
Purine metabolism,PRPS2
Purine metabolism,ENPP3
Purine metabolism,PDE6G
Purine metabolism,ENTPD3
Purine metabolism,AK9
Purine metabolism,GUK1
Purine metabolism,PPAT
Purine metabolism,PRPS1L1
Caffeine metabolism,NAT1
Caffeine metabolism,CYP2A7
Caffeine metabolism,CYP1A2
Caffeine metabolism,NAT2
Caffeine metabolism,CYP2A6
Caffeine metabolism,XDH
Pyrimidine metabolism,UPP1
Pyrimidine metabolism,NT5C1B-RDH14
Pyrimidine metabolism,UCK1
Pyrimidine metabolism,UMPS
Pyrimidine metabolism,NT5C1B
Pyrimidine metabolism,NME7
Pyrimidine metabolism,DUT
Pyrimidine metabolism,ENTPD6
Pyrimidine metabolism,NUDT2
Pyrimidine metabolism,TK1
Pyrimidine metabolism,NME1-NME2
Pyrimidine metabolism,RRM2
Pyrimidine metabolism,TK2
Pyrimidine metabolism,ENTPD5
Pyrimidine metabolism,CTPS1
Pyrimidine metabolism,NME6
Pyrimidine metabolism,NT5E
Pyrimidine metabolism,HDDC2
Pyrimidine metabolism,CTPS2
Pyrimidine metabolism,ASMTL
Pyrimidine metabolism,CDA
Pyrimidine metabolism,RRM1
Pyrimidine metabolism,ENTPD8
Pyrimidine metabolism,NT5DC4
Pyrimidine metabolism,DPYS
Pyrimidine metabolism,NME1
Pyrimidine metabolism,DCK
Pyrimidine metabolism,CMPK2
Pyrimidine metabolism,ENPP1
Pyrimidine metabolism,NME4
Pyrimidine metabolism,NT5C1A
Pyrimidine metabolism,TYMP
Pyrimidine metabolism,CMPK1
Pyrimidine metabolism,UPB1
Pyrimidine metabolism,ENTPD1
Pyrimidine metabolism,CANT1
Pyrimidine metabolism,NME3
Pyrimidine metabolism,DPYD
Pyrimidine metabolism,DTYMK
Pyrimidine metabolism,ENTPD4
Pyrimidine metabolism,DCTD
Pyrimidine metabolism,NT5M
Pyrimidine metabolism,ENPP3
Pyrimidine metabolism,NT5C3B
Pyrimidine metabolism,ENTPD3
Pyrimidine metabolism,DHODH
Pyrimidine metabolism,CAD
Pyrimidine metabolism,NT5C2
Pyrimidine metabolism,TYMS
Pyrimidine metabolism,NT5C
Pyrimidine metabolism,AK9
Pyrimidine metabolism,NME2
Pyrimidine metabolism,UCKL1
Pyrimidine metabolism,UCK2
Pyrimidine metabolism,DCTPP1
Pyrimidine metabolism,UPP2
Pyrimidine metabolism,RRM2B
Pyrimidine metabolism,NT5C3A
"Alanine, aspartate and glutamate metabolism",ASS1
"Alanine, aspartate and glutamate metabolism",ASL
"Alanine, aspartate and glutamate metabolism",RIMKLB
"Alanine, aspartate and glutamate metabolism",FOLH1
"Alanine, aspartate and glutamate metabolism",ASNS
"Alanine, aspartate and glutamate metabolism",GOT1L1
"Alanine, aspartate and glutamate metabolism",GPT
"Alanine, aspartate and glutamate metabolism",RIMKLA
"Alanine, aspartate and glutamate metabolism",GLS
"Alanine, aspartate and glutamate metabolism",DDO
"Alanine, aspartate and glutamate metabolism",GLUD2
"Alanine, aspartate and glutamate metabolism",GAD2
"Alanine, aspartate and glutamate metabolism",GFPT1
"Alanine, aspartate and glutamate metabolism",GPT2
"Alanine, aspartate and glutamate metabolism",GOT2
"Alanine, aspartate and glutamate metabolism",GAD1
"Alanine, aspartate and glutamate metabolism",ALDH5A1
"Alanine, aspartate and glutamate metabolism",GLUL
"Alanine, aspartate and glutamate metabolism",ASRGL1
"Alanine, aspartate and glutamate metabolism",AGXT2
"Alanine, aspartate and glutamate metabolism",ADSS1
"Alanine, aspartate and glutamate metabolism",ASPA
"Alanine, aspartate and glutamate metabolism",IL4I1
"Alanine, aspartate and glutamate metabolism",NAT8L
"Alanine, aspartate and glutamate metabolism",NIT2
"Alanine, aspartate and glutamate metabolism",GOT1
"Alanine, aspartate and glutamate metabolism",ADSS2
"Alanine, aspartate and glutamate metabolism",GFPT2
"Alanine, aspartate and glutamate metabolism",ABAT
"Alanine, aspartate and glutamate metabolism",CPS1
"Alanine, aspartate and glutamate metabolism",AGXT
"Alanine, aspartate and glutamate metabolism",CAD
"Alanine, aspartate and glutamate metabolism",ADSL
"Alanine, aspartate and glutamate metabolism",PPAT
"Alanine, aspartate and glutamate metabolism",GLUD1
"Alanine, aspartate and glutamate metabolism",GLS2
"Alanine, aspartate and glutamate metabolism",ALDH4A1
"Glycine, serine and threonine metabolism",GLDC
"Glycine, serine and threonine metabolism",PIPOX
"Glycine, serine and threonine metabolism",CHDH
"Glycine, serine and threonine metabolism",BHMT
"Glycine, serine and threonine metabolism",BPGM
"Glycine, serine and threonine metabolism",SHMT2
"Glycine, serine and threonine metabolism",GLYCTK
"Glycine, serine and threonine metabolism",PGAM2
"Glycine, serine and threonine metabolism",SRR
"Glycine, serine and threonine metabolism",PGAM4
"Glycine, serine and threonine metabolism",LOC102724560
"Glycine, serine and threonine metabolism",ALAS2
"Glycine, serine and threonine metabolism",DMGDH
"Glycine, serine and threonine metabolism",AMT
"Glycine, serine and threonine metabolism",DAO
"Glycine, serine and threonine metabolism",GATM
